Pregunta;Respuesta
Afganistán;Kabul
Arabia Saudí;Riad
Armenia;Ereván
Azerbaiyán;Bakú
Bangladés;Daca
Baréin;Manama
Birmania;Naipyidó
Brunéi;Bandar Seri Begawan
Bután;Timbu
Camboya;Nom Pen
Catar;Doha
China;Pekín
Corea del Norte;Pionyang
Corea del Sur;Seúl
Emiratos Árabes Unidos;Abu Dabi
Filipinas;Manila
Georgia;Tiflis
India;Nueva Delhi
Indonesia;Yakarta (se está construyendo Nusantara para sustituirla)
Irak;Bagdad
Irán;Teherán
Israel;Jerusalén es la sede del gobierno y su estatus está en disputa internacional
Japón;Tokio
Jordania;Amán
Kazajistán;Astaná
Kirguistán;Biskek
Kuwait;Ciudad de Kuwait
Laos;Vientián
Líbano;Beirut
Malasia;Kuala Lumpur (Putrajaya es la sede administrativa)
Maldivas;Malé
Mongolia;Ulán Bator
Nepal;Katmandú
Omán;Mascate
Pakistán;Islamabad
Palestina;Ramala es la sede del gobierno y reclama Jerusalén Este como capital
Singapur;Singapur
Siria;Damasco
Sri Lanka;Sri Jayawardenepura Kotte (Colombo es la capital comercial)
Tailandia;Bangkok
Tayikistán;Dusambé
Timor Oriental;Dili
Turkmenistán;Asjabad
Turquía;Ankara
Uzbekistán;Taskent
Vietnam;Hanói
Yemen;Saná
